Date,#1,#2,#3,#4,#5,#6,#7,PB
08/04/21,3,4,12,13,14,21,24,6
01/04/21,1,7,13,23,25,26,27,15
25/03/21,10,12,14,15,16,21,25,5
18/03/21,6,16,18,29,30,33,35,4
11/03/21,1,8,14,17,19,21,26,20
04/03/21,1,6,7,18,22,28,33,4
25/02/21,11,17,19,20,23,25,33,3
18/02/21,3,13,16,19,22,25,30,10
11/02/21,1,7,16,20,26,29,32,14
04/02/21,2,6,18,29,30,33,34,8
28/01/21,6,10,12,13,16,20,30,11
21/01/21,6,15,19,22,27,29,35,14
14/01/21,1,2,17,20,26,27,31,14
07/01/21,2,3,7,17,20,22,23,5
31/12/20,1,2,7,8,11,16,28,7
24/12/20,4,9,11,12,21,29,32,2
17/12/20,4,5,9,16,17,29,33,13
10/12/20,4,8,9,11,14,19,20,19
03/12/20,1,12,15,17,21,28,29,17
26/11/20,3,7,20,21,25,30,31,2
19/11/20,1,7,12,13,26,30,34,11
12/11/20,6,9,11,14,19,23,24,20
05/11/20,2,3,13,14,21,24,35,12
29/10/20,1,2,10,16,24,28,31,19
22/10/20,1,5,6,10,16,19,31,10
15/10/20,2,7,9,15,27,31,32,7
08/10/20,9,10,11,17,19,20,35,3
01/10/20,11,15,16,18,22,26,30,4
24/09/20,1,3,8,11,13,31,32,3
17/09/20,3,4,5,7,11,19,28,6
10/09/20,2,8,9,10,19,23,29,14
03/09/20,1,3,9,13,17,23,32,19
27/08/20,2,13,14,16,18,23,28,9
20/08/20,8,12,17,18,21,23,35,1
13/08/20,5,6,14,15,16,24,32,19
06/08/20,5,7,14,18,23,27,33,7
30/07/20,3,9,19,24,27,30,35,1
23/07/20,3,7,9,16,17,28,32,6
16/07/20,11,14,18,23,26,32,34,5
09/07/20,2,21,26,28,31,32,33,12
02/07/20,1,6,10,15,16,21,26,19
25/06/20,8,12,18,20,24,27,35,17
18/06/20,7,14,17,22,24,28,32,1
11/06/20,1,14,17,22,26,28,33,9
04/06/20,1,5,10,12,17,20,27,13
28/05/20,9,10,21,24,25,30,32,19
21/05/20,7,8,9,18,23,30,32,4
14/05/20,3,4,8,22,23,24,31,15
07/05/20,9,12,16,23,26,29,35,10
30/04/20,6,9,17,25,28,32,34,10
23/04/20,3,6,7,14,18,32,35,2
16/04/20,8,12,15,18,19,24,25,18
09/04/20,2,4,12,18,19,27,34,11
02/04/20,1,3,14,17,19,22,26,18
26/03/20,1,12,14,16,21,27,29,7
19/03/20,1,10,11,12,18,20,27,20
12/03/20,10,17,19,20,26,28,33,2
05/03/20,10,16,23,24,27,28,33,12
27/02/20,1,9,16,17,22,24,31,2
20/02/20,1,3,12,13,21,26,31,19
13/02/20,2,5,7,14,25,29,32,3
06/02/20,1,2,3,11,15,26,35,17
30/01/20,5,8,9,17,20,22,35,16
23/01/20,4,5,10,13,23,27,28,4
16/01/20,7,14,16,20,21,25,28,11
09/01/20,3,4,7,9,24,29,31,2
02/01/20,2,3,9,21,25,27,35,4
26/12/19,7,9,12,17,23,26,27,2
19/12/19,4,8,9,10,11,29,32,18
12/12/19,9,11,15,16,18,28,35,9
05/12/19,14,19,20,27,29,30,32,6
28/11/19,4,12,18,20,21,23,30,1
21/11/19,1,2,3,12,13,23,25,1
14/11/19,8,10,20,24,26,28,32,6
07/11/19,3,7,10,12,13,21,33,4
31/10/19,9,10,16,18,22,29,33,8
24/10/19,1,7,11,12,19,24,30,7
17/10/19,2,6,7,9,21,22,25,12
10/10/19,3,6,11,16,27,28,35,10
03/10/19,2,11,15,20,22,25,29,3
26/09/19,9,22,25,26,27,30,33,19
19/09/19,4,5,8,17,18,26,31,9
12/09/19,10,11,20,27,28,30,31,2
05/09/19,2,4,14,16,19,27,29,13
29/08/19,8,9,11,20,22,27,32,20
22/08/19,3,7,10,11,17,26,35,19
15/08/19,7,14,21,24,27,30,35,13
08/08/19,1,5,11,16,17,29,30,8
01/08/19,9,15,22,23,25,30,35,6
25/07/19,1,3,9,11,22,23,24,4
18/07/19,1,6,11,13,16,23,27,11
11/07/19,6,7,8,21,27,28,34,16
04/07/19,2,15,20,21,22,27,28,3
27/06/19,2,7,17,21,27,32,35,7
20/06/19,4,10,14,16,17,19,34,13
13/06/19,1,5,8,11,17,23,25,3
06/06/19,2,7,8,11,31,33,35,20
30/05/19,4,10,14,17,22,31,34,7
23/05/19,6,7,10,16,17,20,30,4
16/05/19,1,11,13,17,24,34,35,19
09/05/19,5,15,17,18,19,26,29,2
02/05/19,2,4,6,8,9,11,33,4
25/04/19,2,5,9,11,23,25,33,6
18/04/19,1,2,4,11,17,21,30,2
11/04/19,8,15,18,19,20,22,32,9
04/04/19,2,12,14,16,21,25,33,4
28/03/19,4,5,25,26,27,30,34,18
21/03/19,3,14,20,27,29,30,31,7
14/03/19,2,5,8,17,20,24,27,6
07/03/19,4,6,9,13,20,23,27,2
28/02/19,2,4,5,7,11,13,14,14
21/02/19,3,4,12,16,21,25,27,8
14/02/19,3,6,10,11,21,23,34,5
07/02/19,6,11,17,20,22,24,32,19
31/01/19,10,19,22,28,29,31,34,10
24/01/19,2,8,17,19,23,29,35,3
17/01/19,4,11,18,20,22,26,33,9
10/01/19,3,7,10,24,28,31,34,14
03/01/19,7,8,11,12,19,25,33,13
27/12/18,5,7,8,9,17,18,29,19
20/12/18,5,9,13,19,20,24,32,15
13/12/18,7,8,15,24,26,28,35,13
06/12/18,3,5,6,14,20,26,33,19
29/11/18,3,5,17,20,22,29,33,12
22/11/18,3,14,17,28,29,33,34,17
15/11/18,2,7,16,18,23,25,29,20
08/11/18,12,15,17,23,29,30,35,10
01/11/18,4,8,11,17,24,30,35,3
25/10/18,9,11,13,25,26,28,29,12
18/10/18,7,10,17,25,29,33,35,5
11/10/18,13,20,21,23,27,30,32,13
04/10/18,3,11,21,22,24,28,32,7
27/09/18,5,10,15,19,21,22,30,3
20/09/18,2,6,8,10,17,20,30,8
13/09/18,1,2,17,19,22,34,35,11
06/09/18,7,14,18,21,23,25,27,20
30/08/18,13,15,19,20,22,28,32,20
23/08/18,2,6,9,14,18,28,29,11
16/08/18,3,13,27,31,32,33,35,3
09/08/18,4,5,10,12,13,18,34,19
02/08/18,1,3,9,17,22,32,34,19
26/07/18,1,7,8,22,28,31,32,15
19/07/18,2,4,22,23,24,25,29,17
12/07/18,4,16,18,23,25,31,32,5
05/07/18,7,20,23,29,32,33,34,16
28/06/18,2,4,7,17,25,28,34,3
21/06/18,2,5,9,13,24,31,35,16
14/06/18,2,6,7,14,16,29,31,15
07/06/18,14,22,23,24,30,32,34,9
31/05/18,8,9,18,27,29,30,32,6
24/05/18,2,12,14,18,19,23,25,17
17/05/18,3,9,16,25,26,31,34,9
10/05/18,6,14,15,24,26,32,35,14
03/05/18,1,3,6,16,19,20,24,13
26/04/18,9,14,15,19,24,34,35,12
19/04/18,4,5,9,13,25,32,33,7